recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
14726274,289.591350,49.473008,0.727,0.507,20122234,4,18,0.457,0.043,14.861,0.035,15.318,0.024,14.980,0.038,14.732,0.087,14.716,0.097
14726275,289.597086,49.452127,0.433,0.712,20122234,3,11,0.922,0.060,15.644,0.042,16.566,0.043,16.035,0.009,15.239,0.078,14.923,0.000
14726276,289.610843,49.494886,0.596,0.640,20122234,4,19,0.551,0.075,15.510,0.069,16.061,0.029,15.677,0.051,15.379,0.064,15.393,0.037
14726277,289.676253,49.467860,0.430,0.348,20122234,4,20,0.749,0.036,14.337,0.034,15.085,0.010,14.617,0.020,14.096,0.026,14.005,0.095
14726278,289.665651,49.498198,0.363,0.402,20122234,4,17,1.208,0.065,14.764,0.039,15.971,0.053,15.329,0.026,14.419,0.047,14.186,0.055
14726279,289.676183,49.501735,0.307,0.652,20122234,4,20,0.773,0.034,14.846,0.018,15.619,0.029,15.186,0.021,14.620,0.030,14.402,0.037
14726280,289.605512,49.521029,0.424,0.663,20122234,4,16,0.572,0.069,15.637,0.062,16.210,0.032,15.836,0.019,15.518,0.027,15.376,0.095
14726281,289.537136,49.484673,0.850,0.299,20122234,2,6,0.516,0.040,15.893,0.000,16.408,0.040,16.131,0.014,15.686,0.093,,
14726283,289.559258,49.481459,0.441,0.451,20122234,4,20,1.113,0.034,14.192,0.025,15.304,0.023,14.691,0.025,13.882,0.053,13.654,0.066
14726284,289.572678,49.472925,1.004,0.660,20122234,2,6,1.391,0.000,16.432,0.000,17.823,0.000,17.089,0.000,15.675,0.000,14.927,0.262
14726285,289.577459,49.484168,0.908,0.403,20122234,2,8,0.857,0.153,15.789,0.121,16.646,0.093,16.125,0.014,15.597,0.111,,
14726286,289.574822,49.493669,0.950,0.747,20122234,4,12,0.833,0.093,16.060,0.077,16.893,0.051,16.412,0.041,15.819,0.051,,
14726287,289.503221,49.512892,0.509,0.877,20122234,2,9,0.635,0.046,15.467,0.020,16.102,0.041,15.662,0.026,15.236,0.170,15.229,0.000
