recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
14726427,289.764076,49.746431,0.586,0.618,20122234,4,18,0.436,0.057,15.709,0.054,16.145,0.019,15.809,0.031,15.537,0.085,15.535,0.145
14726428,289.777727,49.743264,0.516,0.502,20122234,4,19,0.657,0.046,15.213,0.032,15.870,0.033,15.433,0.026,14.979,0.024,14.801,0.139
14726429,289.806105,49.742190,0.443,0.438,20122234,4,20,0.692,0.048,14.440,0.037,15.132,0.031,14.691,0.016,14.231,0.041,14.149,0.037
14726430,289.722704,49.768374,1.148,0.777,20122234,3,8,0.695,0.092,16.661,0.071,17.356,0.058,17.017,0.000,16.490,0.000,,
14726431,289.749681,49.752553,0.682,1.432,20122234,2,4,0.557,0.000,16.715,0.000,17.272,0.000,16.923,0.042,16.423,0.000,,
14726432,289.750346,49.732721,0.286,0.322,20122234,4,20,0.635,0.027,13.793,0.019,14.428,0.020,14.022,0.022,13.621,0.035,13.512,0.036
14726433,289.729419,49.776055,0.833,0.588,20122234,4,14,0.867,0.093,15.851,0.070,16.719,0.061,16.152,0.009,15.548,0.023,15.289,0.106
14726434,289.737702,49.768164,0.333,0.566,20122234,4,15,0.594,0.037,15.545,0.037,16.138,0.000,15.771,0.013,15.377,0.054,15.283,0.000
14726435,289.763685,49.758885,0.309,0.377,20122234,4,20,0.950,0.029,14.257,0.027,15.207,0.009,14.670,0.023,14.007,0.037,13.770,0.023
14726436,289.796407,49.808019,1.007,0.989,20122234,3,4,0.314,0.000,16.424,0.000,16.738,0.000,,,16.135,0.011,,
14726439,289.754084,49.798307,0.414,0.376,20122234,4,19,0.555,0.032,15.348,0.026,15.903,0.019,15.507,0.035,15.193,0.028,15.040,0.006
14726440,289.767044,49.804853,1.100,0.558,20122234,2,5,0.914,0.113,16.560,0.000,17.473,0.113,16.962,0.000,16.256,0.000,15.632,0.000
14726441,289.782695,49.800218,0.373,0.798,20122234,4,21,0.695,0.131,15.952,0.047,16.647,0.123,16.188,0.009,15.736,0.112,15.722,0.000
14726442,289.763908,49.815146,0.384,0.566,20122234,2,8,0.813,0.092,16.167,0.047,16.980,0.080,16.530,0.008,15.902,0.081,,
14726443,289.768860,49.830777,0.202,0.163,20122234,4,19,1.057,0.042,13.693,0.041,14.750,0.005,14.133,0.024,13.362,0.026,13.088,0.024
14726444,289.695475,49.763961,0.490,0.633,20122234,4,19,0.546,0.054,15.396,0.023,15.942,0.048,15.540,0.018,15.199,0.017,15.196,0.116
14726446,289.684353,49.799660,0.494,0.546,20122234,4,19,0.414,0.091,15.188,0.072,15.602,0.055,15.274,0.040,15.010,0.055,14.992,0.127
14726447,289.700446,49.812001,0.487,0.986,20122234,3,11,0.712,0.075,15.960,0.061,16.672,0.045,16.198,0.011,15.615,0.012,15.462,0.000
14726448,289.653849,49.807568,0.244,0.324,20122234,4,20,0.682,0.024,13.424,0.022,14.106,0.011,13.681,0.028,13.237,0.026,13.117,0.039
14726449,289.671546,49.798717,0.972,0.798,20122234,2,4,0.587,0.090,16.635,0.000,17.221,0.090,16.771,0.000,16.535,0.000,,
14726450,289.670845,49.827413,0.500,0.577,20122234,4,20,0.597,0.032,14.981,0.021,15.578,0.023,15.166,0.006,14.798,0.036,14.773,0.115
14726451,289.708171,49.843588,0.912,0.765,20122234,2,6,0.627,0.000,16.713,0.000,17.340,0.000,16.983,0.229,16.401,0.089,,
14726452,289.720519,49.817366,0.639,0.537,20122234,3,14,0.906,0.029,15.506,0.026,16.412,0.014,15.837,0.030,15.229,0.045,15.025,0.079
14726454,289.739420,49.820700,0.427,1.157,20122234,4,13,0.912,0.087,15.702,0.082,16.614,0.031,16.105,0.025,15.442,0.000,15.179,0.000
14726457,289.741515,49.842170,0.264,0.307,20122234,4,18,0.511,0.039,14.609,0.036,15.120,0.016,14.759,0.034,14.467,0.035,14.453,0.011
14726458,289.745086,49.828745,0.467,0.811,20122234,4,12,1.100,0.061,15.941,0.011,17.041,0.060,16.397,0.028,15.484,0.031,,
14726460,289.690043,49.830188,0.793,0.863,20122234,3,7,0.436,0.055,16.343,0.047,16.779,0.029,16.454,0.000,16.483,0.000,16.097,0.000
14726463,289.467603,49.526020,0.901,0.706,20122234,4,15,0.570,0.099,16.096,0.077,16.666,0.062,16.261,0.048,15.871,0.117,15.731,0.000
14726464,289.469401,49.541248,0.476,0.692,20122234,2,10,1.055,0.109,16.071,0.021,17.125,0.107,16.453,0.029,15.743,0.041,15.354,0.051
14726465,289.485182,49.519684,0.482,0.524,20122234,3,12,0.636,0.048,15.990,0.026,16.626,0.040,16.218,0.026,15.818,0.029,,
14726466,289.477946,49.576905,1.144,0.352,20122234,2,7,0.900,0.000,16.656,0.000,17.557,0.000,16.975,0.140,16.460,0.069,16.014,0.000
14726467,289.487109,49.555082,0.406,0.798,20122234,4,19,0.737,0.041,15.171,0.037,15.909,0.019,15.479,0.021,15.046,0.089,15.037,0.055
14726468,289.416218,49.562234,0.786,0.824,20122234,3,14,1.257,0.055,15.612,0.026,16.869,0.048,16.211,0.045,15.151,0.087,14.776,0.019
14726469,289.426589,49.569724,0.555,0.589,20122234,3,12,0.743,0.146,16.053,0.038,16.796,0.140,16.308,0.022,15.911,0.059,,
14726470,289.445027,49.584179,0.594,0.431,20122234,3,13,1.066,0.074,14.684,0.068,15.750,0.030,15.135,0.006,14.353,0.017,14.099,0.054
14726471,289.486696,49.577033,0.330,0.419,20122234,4,20,0.498,0.038,13.209,0.035,13.707,0.015,13.376,0.025,13.115,0.049,13.089,0.052
14726473,289.497216,49.611497,0.523,0.766,20122234,3,12,0.631,0.072,16.197,0.053,16.827,0.048,16.350,0.057,15.977,0.000,,
14726474,289.511078,49.614103,0.433,0.485,20122234,4,20,0.891,0.069,15.831,0.064,16.722,0.025,16.158,0.034,15.549,0.067,,
14726476,289.465014,49.613892,0.490,1.044,20122234,3,10,0.879,0.201,16.465,0.170,17.344,0.108,16.748,0.021,15.954,0.107,,
14726477,289.469518,49.594419,0.472,0.781,20122234,4,15,0.562,0.120,15.756,0.106,16.319,0.055,15.952,0.025,15.516,0.019,15.413,0.000
14726478,289.471498,49.584654,0.256,0.352,20122234,4,20,0.951,0.053,14.727,0.044,15.678,0.029,15.148,0.021,14.393,0.027,14.176,0.082
14726479,289.474146,49.615130,0.397,0.424,20122234,4,20,0.897,0.077,14.527,0.072,15.424,0.028,14.865,0.017,14.259,0.019,14.050,0.022
14726481,289.484740,49.616459,0.243,0.416,20122234,4,19,0.369,0.034,13.737,0.031,14.105,0.014,13.822,0.029,13.648,0.044,13.696,0.023
14726482,289.383375,49.606689,0.357,0.674,20122234,4,20,1.014,0.020,14.456,0.011,15.470,0.016,14.894,0.018,14.140,0.034,13.899,0.101
14726483,289.391751,49.621564,0.287,0.614,20122234,3,8,0.637,0.084,16.370,0.064,17.007,0.054,16.568,0.031,16.147,0.055,,
14726484,289.408846,49.609024,0.593,0.914,20122234,3,8,0.500,0.117,15.853,0.111,16.354,0.037,15.965,0.000,15.663,0.000,,
14726486,289.423545,49.608859,0.626,0.559,20122234,4,20,1.005,0.048,14.102,0.045,15.108,0.016,14.522,0.024,13.814,0.036,13.586,0.063
14726489,289.375428,49.652158,0.615,0.724,20122234,4,17,0.643,0.083,15.900,0.062,16.543,0.056,16.140,0.026,15.736,0.059,15.623,0.000
14726490,289.398136,49.640640,0.891,0.537,20122234,3,11,0.618,0.079,15.920,0.022,16.538,0.076,16.135,0.011,15.881,0.033,15.720,0.000
14726491,289.379163,49.683281,0.301,1.780,20122234,2,3,,,,,,,16.624,0.023,16.159,0.000,,
14726492,289.379284,49.683647,0.680,1.838,20122234,2,3,0.491,0.000,16.448,0.000,16.939,0.000,,,16.453,0.083,,
14726493,289.400215,49.676901,0.356,0.732,20122234,4,17,0.648,0.055,15.349,0.049,15.997,0.025,15.587,0.022,15.151,0.056,15.033,0.075
14726494,289.533533,49.611442,0.868,0.823,20122234,2,9,0.423,0.075,15.559,0.054,15.982,0.052,15.621,0.000,15.354,0.000,15.577,0.103
14726496,289.534514,49.661582,0.820,0.886,20122234,3,5,0.939,0.061,16.504,0.000,17.443,0.061,16.948,0.000,15.928,0.000,,
14726497,289.468838,49.664030,0.597,0.690,20122234,3,15,1.098,0.080,15.711,0.071,16.809,0.037,16.246,0.024,15.260,0.041,14.979,0.060
14726498,289.480238,49.660975,0.141,0.370,20122234,4,20,0.615,0.031,13.148,0.027,13.763,0.014,13.378,0.019,13.002,0.033,12.959,0.040
14726499,289.500342,49.651562,0.469,0.415,20122234,4,19,0.591,0.050,15.492,0.049,16.084,0.009,15.700,0.036,15.380,0.048,15.213,0.125
14726500,289.490010,49.666723,0.482,1.137,20122234,4,14,0.844,0.055,15.236,0.053,16.080,0.014,15.619,0.014,14.980,0.025,14.914,0.000
14726501,289.502670,49.669592,0.518,1.250,20122234,4,10,0.586,0.183,16.598,0.182,17.185,0.022,16.744,0.046,16.251,0.093,,
14726502,289.544389,49.723623,0.819,0.870,20122234,2,9,0.619,0.059,16.376,0.057,16.996,0.016,16.522,0.026,16.155,0.023,15.992,0.000
14726503,289.551266,49.707138,0.712,1.110,20122234,2,3,0.167,0.144,17.588,0.000,17.755,0.144,,,17.226,0.000,,
14726504,289.552773,49.698147,0.157,0.523,20122234,4,19,0.821,0.042,14.405,0.040,15.226,0.011,14.733,0.028,14.171,0.031,13.990,0.052
14726505,289.484501,49.709042,0.673,0.649,20122234,3,12,0.763,0.146,16.085,0.075,16.848,0.125,16.347,0.029,15.889,0.096,,
14726506,289.503379,49.688829,0.518,0.841,20122234,3,13,1.356,0.061,15.985,0.053,17.341,0.029,16.618,0.044,15.582,0.112,15.144,0.069
14726507,289.522449,49.686606,0.381,0.973,20122234,4,12,0.732,0.211,15.764,0.209,16.496,0.031,15.972,0.006,15.401,0.014,,
14726508,289.454335,49.655727,0.387,0.383,20122234,4,18,0.520,0.034,14.808,0.033,15.328,0.009,14.973,0.022,14.655,0.032,14.557,0.059
14726509,289.457666,49.669167,0.256,0.673,20122234,2,10,0.835,0.054,15.313,0.047,16.149,0.026,15.648,0.006,15.061,0.039,14.898,0.006
14726511,289.401337,49.709622,0.609,0.564,20122234,4,22,0.481,0.100,15.411,0.089,15.891,0.045,15.475,0.042,15.188,0.016,,
14726513,289.448269,49.723677,0.146,0.644,20122234,4,16,0.570,0.052,14.877,0.043,15.448,0.030,15.049,0.028,14.641,0.040,14.533,0.016
14726514,289.452160,49.747676,0.659,0.702,20122234,4,10,0.442,0.205,16.484,0.067,16.925,0.194,16.614,0.041,16.354,0.070,,
14726515,289.477187,49.751945,0.293,0.436,20122234,4,20,0.504,0.036,14.000,0.032,14.504,0.017,14.160,0.024,13.864,0.044,13.769,0.071
14726516,289.488990,49.737599,0.357,0.391,20122234,4,19,0.497,0.039,14.660,0.026,15.156,0.029,14.822,0.026,14.549,0.043,14.495,0.073
14726517,289.433667,49.752703,0.606,0.715,20122234,2,7,0.606,0.000,16.396,0.000,17.002,0.000,16.525,0.027,16.164,0.038,16.306,0.000
14726518,289.439087,49.731246,0.543,0.414,20122234,4,20,1.000,0.029,15.073,0.006,16.073,0.029,15.531,0.010,14.726,0.035,14.511,0.052
14726519,289.421259,49.777423,0.677,0.693,20122234,4,16,0.601,0.115,15.724,0.112,16.325,0.026,15.933,0.009,15.557,0.068,15.381,0.119
14726520,289.434430,49.761487,0.245,0.419,20122234,4,20,0.592,0.055,14.407,0.051,15.000,0.019,14.610,0.019,14.251,0.016,14.157,0.045
14726527,289.361549,49.683230,0.650,0.748,20122234,3,13,0.545,0.038,16.033,0.000,16.577,0.038,16.200,0.021,15.830,0.033,15.501,0.000
14726542,289.359281,49.732579,0.857,0.810,20122234,2,9,0.478,0.101,16.518,0.068,16.996,0.075,16.599,0.000,16.331,0.108,16.158,0.000
14726543,289.369543,49.731495,1.319,0.642,20122234,2,4,1.037,0.000,16.651,0.000,17.688,0.000,16.981,0.049,16.336,0.000,,
14726547,289.388151,49.783735,1.141,1.020,20122234,2,8,0.619,0.137,16.793,0.097,17.412,0.097,16.992,0.104,16.628,0.008,,
14726548,289.390390,49.768391,0.234,0.507,20122234,4,20,0.928,0.048,14.761,0.041,15.689,0.026,15.124,0.035,14.484,0.037,14.307,0.018
14726549,289.375135,49.814012,0.762,0.877,20122234,3,9,0.657,0.076,15.809,0.016,16.465,0.074,15.992,0.008,15.653,0.015,15.312,0.000
14726551,289.361248,49.798431,0.410,0.676,20122234,4,15,0.719,0.048,14.709,0.046,15.428,0.014,14.952,0.021,14.469,0.046,14.234,0.000
14726562,289.592398,49.725102,0.643,0.786,20122234,4,19,0.728,0.038,15.147,0.031,15.874,0.022,15.414,0.033,14.901,0.039,14.821,0.138
14726563,289.563045,49.759435,0.923,0.602,20122234,4,17,0.478,0.037,15.231,0.027,15.709,0.026,15.333,0.023,15.071,0.055,15.050,0.000
14726564,289.581382,49.744407,0.321,0.317,20122234,4,20,1.317,0.066,13.424,0.061,14.741,0.026,14.004,0.028,13.010,0.043,12.648,0.045
14726565,289.518897,49.768664,0.475,0.610,20122234,4,19,0.778,0.032,15.361,0.020,16.138,0.025,15.654,0.010,15.135,0.019,14.999,0.082
14726566,289.520819,49.785573,1.102,0.809,20122234,2,5,1.702,0.000,16.466,0.000,18.168,0.000,17.215,0.058,16.039,0.000,15.172,0.000
14726567,289.553485,49.760081,0.539,0.303,20122234,4,18,0.577,0.051,15.154,0.000,15.731,0.051,15.314,0.019,14.906,0.020,14.644,0.042
14726568,289.600048,49.797531,0.369,0.459,20122234,4,19,0.586,0.064,14.988,0.061,15.573,0.018,15.180,0.024,14.807,0.025,14.757,0.041
14726569,289.544918,49.793981,0.508,0.509,20122234,4,19,0.663,0.068,15.181,0.065,15.844,0.020,15.431,0.021,15.013,0.034,14.817,0.057
14726571,289.567492,49.825683,0.137,0.405,20122234,4,20,0.632,0.037,13.447,0.033,14.080,0.017,13.673,0.027,13.301,0.033,13.168,0.038
14726572,289.576765,49.807318,0.433,0.821,20122234,3,11,0.686,0.090,16.319,0.020,17.004,0.087,16.517,0.046,16.174,0.061,15.918,0.000
14726573,289.474341,49.786012,0.496,0.583,20122234,4,18,0.774,0.055,15.454,0.034,16.228,0.043,15.748,0.048,15.263,0.050,15.085,0.126
14726575,289.494705,49.755973,1.104,0.909,20122234,3,6,0.683,0.226,16.612,0.183,17.295,0.132,16.856,0.000,16.558,0.000,,
14726576,289.521667,49.796236,0.384,0.429,20122234,3,13,0.721,0.020,15.727,0.011,16.448,0.017,15.993,0.020,15.588,0.006,15.498,0.000
14726577,289.451907,49.796883,0.623,0.629,20122234,3,11,0.727,0.076,15.755,0.054,16.482,0.054,16.067,0.014,15.648,0.030,15.375,0.000
14726578,289.464437,49.798548,0.279,0.441,20122234,4,19,0.579,0.040,15.133,0.032,15.712,0.024,15.323,0.028,14.931,0.024,14.816,0.057
14726579,289.443221,49.843429,0.420,0.500,20122234,4,20,0.549,0.054,15.164,0.032,15.713,0.043,15.368,0.035,14.998,0.070,14.878,0.044
14726580,289.473102,49.803185,0.301,0.295,20122234,4,19,0.944,0.044,14.114,0.041,15.058,0.015,14.511,0.027,13.802,0.014,13.566,0.031
14726581,289.474846,49.823759,0.622,0.602,20122234,3,12,0.667,0.116,16.256,0.105,16.924,0.049,16.412,0.009,16.063,0.032,,
14726582,289.503276,49.831366,1.065,0.578,20122234,3,11,0.545,0.097,15.956,0.097,16.501,0.000,16.129,0.043,15.829,0.066,16.031,0.000
14726583,289.524757,49.827439,0.195,0.357,20122234,4,20,0.756,0.037,13.866,0.029,14.622,0.023,14.172,0.024,13.663,0.031,13.532,0.039
14726584,289.465425,49.846072,0.443,0.530,20122234,3,10,0.833,0.011,15.975,0.000,16.809,0.011,16.300,0.037,15.847,0.045,,
14726586,289.477493,49.848438,0.419,0.577,20122234,4,24,0.594,0.056,15.280,0.041,15.875,0.038,15.481,0.020,15.074,0.028,15.007,0.039
14726587,289.484548,49.831469,0.585,0.697,20122234,4,11,0.625,0.087,16.127,0.030,16.752,0.082,16.357,0.011,15.917,0.070,15.596,0.000
14726590,289.603283,49.819115,0.730,0.550,20122234,3,6,0.729,0.118,16.305,0.104,17.034,0.057,16.497,0.000,16.056,0.000,,
14726591,289.618584,49.821756,0.696,0.874,20122234,4,17,0.527,0.088,15.532,0.076,16.059,0.045,15.644,0.043,15.445,0.176,15.152,0.000
14726593,289.635958,49.832550,0.340,0.538,20122234,4,18,0.727,0.043,15.429,0.034,16.156,0.027,15.692,0.045,15.191,0.022,15.099,0.184
14726595,289.562220,49.844303,0.548,0.626,20122234,4,14,0.662,0.042,15.337,0.026,15.999,0.033,15.578,0.024,15.186,0.053,,
14726596,289.589166,49.845002,0.285,0.327,20122234,4,20,0.586,0.030,13.734,0.029,14.320,0.010,13.932,0.023,13.576,0.023,13.511,0.083
14726626,289.401880,49.815028,0.469,0.893,20122234,4,13,0.593,0.039,15.646,0.029,16.239,0.026,15.856,0.030,15.461,0.057,15.472,0.000
14729063,289.974834,49.718069,0.662,0.376,20122234,2,8,0.438,0.058,16.204,0.058,16.642,0.000,16.244,0.076,15.957,0.006,,
14729065,289.997882,49.758803,0.615,0.787,20122234,3,7,0.782,0.073,16.344,0.000,17.126,0.073,16.695,0.000,16.221,0.083,16.300,0.000
14729066,289.936542,49.755013,0.425,0.602,20122234,3,10,0.465,0.081,15.839,0.023,16.304,0.078,15.952,0.035,15.621,0.012,,
14729068,289.941435,49.781804,0.368,1.284,20122234,2,6,0.937,0.126,16.739,0.000,17.676,0.126,17.067,0.017,16.631,0.146,,
14729069,289.985462,49.776255,0.407,0.381,20122234,4,15,0.517,0.096,15.264,0.087,15.781,0.040,15.415,0.033,15.110,0.025,15.035,0.101
14729070,290.000138,49.781112,0.387,0.162,20122234,4,19,0.471,0.032,13.203,0.031,13.674,0.008,13.343,0.020,13.074,0.023,13.015,0.017
14729072,289.951567,49.807451,0.387,0.376,20122234,4,20,0.615,0.039,14.614,0.022,15.229,0.032,14.813,0.030,14.426,0.029,14.310,0.033
14729073,289.974401,49.803768,0.535,0.567,20122234,4,15,0.651,0.025,15.530,0.014,16.182,0.020,15.769,0.011,15.353,0.069,15.161,0.086
14729074,289.887104,49.785381,0.298,0.512,20122234,4,18,0.504,0.049,14.766,0.024,15.270,0.042,14.921,0.028,14.656,0.025,14.554,0.039
14729075,289.895913,49.779739,0.632,0.777,20122234,3,13,0.876,0.085,16.030,0.081,16.906,0.026,16.390,0.009,15.771,0.063,15.595,0.000
14729077,289.898012,49.798890,0.858,0.668,20122234,2,6,0.680,0.069,16.520,0.067,17.200,0.016,16.758,0.000,16.333,0.000,,
14729078,289.901569,49.812139,0.476,0.529,20122234,3,12,0.209,0.124,16.113,0.123,16.322,0.016,16.044,0.048,16.014,0.030,,
14729079,289.917433,49.806022,1.048,0.766,20122234,4,14,0.915,0.000,16.427,0.000,17.342,0.000,16.733,0.039,15.925,0.063,15.547,0.116
14729081,289.934205,49.790426,0.869,0.676,20122234,2,4,0.488,0.090,16.690,0.000,17.178,0.090,16.975,0.000,16.662,0.000,,
14729082,289.844634,49.811691,0.433,0.478,20122234,4,20,0.729,0.054,14.495,0.034,15.224,0.042,14.767,0.028,14.319,0.019,14.193,0.035
14729083,289.856733,49.811961,0.442,0.609,20122234,4,20,0.852,0.042,14.933,0.027,15.785,0.032,15.260,0.030,14.613,0.061,14.399,0.059
14729084,289.872301,49.791312,0.470,0.448,20122234,4,20,0.756,0.053,14.252,0.042,15.008,0.032,14.529,0.023,13.994,0.038,13.836,0.085
14729085,289.851046,49.824909,0.723,0.654,20122234,4,17,0.513,0.068,15.759,0.067,16.273,0.011,15.867,0.032,15.557,0.103,15.408,0.000
14729086,289.857544,49.833258,0.407,0.323,20122234,4,20,0.438,0.036,13.867,0.031,14.305,0.019,13.995,0.026,13.758,0.050,13.730,0.025
14729087,289.879209,49.830699,0.501,0.390,20122234,4,17,0.827,0.042,15.701,0.016,16.528,0.038,15.995,0.022,15.404,0.029,15.211,0.000
14729088,289.885221,49.809195,0.516,0.927,20122234,4,13,0.740,0.130,15.685,0.111,16.425,0.067,15.915,0.033,15.426,0.168,15.206,0.000
14729090,289.957826,49.833061,0.679,0.784,20122234,4,15,0.760,0.071,16.094,0.044,16.854,0.056,16.391,0.036,15.819,0.022,15.526,0.000
14729093,289.886554,49.843803,1.094,1.175,20122234,3,6,0.459,0.261,16.908,0.166,17.367,0.201,17.250,0.000,16.730,0.000,,
14729098,290.015869,49.837834,0.776,0.523,20122234,4,20,0.517,0.059,15.621,0.020,16.138,0.055,15.784,0.029,15.400,0.066,15.327,0.049
14729102,290.005538,49.834891,1.176,0.573,20122234,3,8,0.609,0.127,16.895,0.078,17.504,0.100,17.011,0.000,16.530,0.000,,
14729132,289.835388,49.825703,0.650,0.523,20122234,3,15,0.693,0.029,15.262,0.022,15.956,0.018,15.496,0.006,15.036,0.047,14.899,0.036
14729136,289.829195,49.842085,0.335,0.375,20122234,4,19,0.422,0.034,14.461,0.024,14.883,0.024,14.572,0.029,14.305,0.054,14.249,0.051
14729137,289.848256,49.840575,0.586,0.841,20122234,2,7,0.699,0.056,16.043,0.041,16.742,0.037,16.284,0.000,15.699,0.000,15.500,0.000
